Mánuður,value,source,fetched_at
1993M06,3.2,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1993M07,3.9,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1993M08,4.8,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1993M09,5.3,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1993M10,5.8,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1993M11,5.8,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1993M12,4.7,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M01,3.2,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M02,2.5,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M03,2.6,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M04,2.4,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M05,2.2,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M06,2.3,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M07,1.6,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M08,0.8,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M09,0.7,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
1994M10,0.0,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01000.px,2026-02-05T14:45:06.607170+00:00
