Mánuður,value,source,fetched_at
1943M04,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M05,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M06,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M07,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M08,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M09,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M10,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M11,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1943M12,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M01,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M02,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M03,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M04,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M05,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M06,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
1944M07,,https://px.hagstofa.is/pxis/pxweb/is/Efnahagur__visitolur__1_vnv__1_vnv/VIS01002.px/,2026-02-04T13:26:29.905914+00:00
